location,year,average yearly temperature,growing degree days,extreme degree days,heating degree days,cooling degree days,total yearly precipitation,total harvesting precipitation,total planting precipitation,total growing season precipitation,npp
Mead,2011,10.61395000145851,2083.808748649561,0.01564050443742914,3485.8106984336696,668.247948966031,855.9115209500792,221.71250497477814,541.1306935138849,762.8431984886632,7554.810312788286
Mead,2012,12.996241078040745,2533.49385210208,0.04509217331088302,2832.730772172383,879.3672067352983,668.4234383291653,163.48934902525514,380.1112468464224,543.6005958716775,6663.0738661154
Mead,2013,9.931641146323056,2019.9460666132784,0.0,3697.6137148067382,631.0082332146536,785.8275732627635,189.9825534157935,548.2881893160193,738.2707427318128,7851.01337272092
Mead,2014,9.999335654589334,1998.5922604069547,0.0,3578.5252797363305,536.6282936614384,887.9876949090898,334.4039226596436,472.4899225262183,806.8938451858618,10641.40504123534
Mead,2015,11.59590007475183,2163.9462042157147,0.0,3050.252103046131,591.1011303305539,1123.0990902968933,445.8725501769812,534.2037078812227,980.0762580582037,11825.825784116596
Mead,2016,12.281167935002792,2329.2331045878627,0.002218907857946109,2913.400499433622,698.320163644654,1035.9765734234707,344.98225444162364,584.4664864764468,929.4487409180704,11485.533255130227
Mead,2017,11.936652975983186,2204.2373090321385,0.0056548133862666826,3022.6782654812228,687.9021017150842,775.7515233691629,277.9866261544791,412.5211632341943,690.5077893886736,11068.367134692751
Mead,2018,10.326246151045824,2142.0127436400508,0.005898773385151364,3687.3539748955104,764.7793200272383,1105.176577869886,419.23108501737397,521.0581762069966,940.2892612243705,10535.436423068884
Mead,2019,10.24941721777778,2079.109816869766,0.011715647194924052,3632.290963123005,681.6737476119026,1116.7675428137295,472.7915105037104,532.9498704652158,1005.7413809689264,11413.002802412637
Glenn,2011,17.703095960211172,5137.080099450435,0.06140225360247421,1379.3721860514975,1149.3477115285762,501.53496530600637,79.4156283228448,290.28004246011307,369.69567078295785,13394.297678223107
Glenn,2012,18.732643705266174,5493.390485934906,0.14038215579765798,1224.9868179941518,1371.1466141215747,727.3739018129908,186.69008770468932,217.940328772996,404.63041647768523,9009.688148870566
Glenn,2013,18.814266673967577,5580.698113412117,0.22626807270248034,1212.8878804807196,1388.4407164788913,142.65269349888996,39.045855889152996,72.29195102290309,111.33780691205611,10099.211146416657
Glenn,2014,20.001066621553484,5924.4381623681675,0.14686111692917178,902.4699744865736,1511.2047913535987,608.4311791272821,113.0868960315278,131.24929041536421,244.33618644689201,9391.990373120238
Glenn,2015,19.20172340025,5665.810725571726,0.09105144734171346,1026.7269979423272,1343.701539033576,297.03142567122393,62.10064510363779,42.78341792348363,104.88406302712141,11272.943733090036
Glenn,2016,19.046606956790935,5579.743768954094,0.16872620142760295,1084.7685194133771,1345.8388655988624,730.8596274087984,175.05753858061183,219.4658083521853,394.52334693279715,12532.033269363872
Glenn,2017,19.044381265391035,5571.3608551981615,0.30978251648812405,1175.9773536743405,1435.5220155420654,696.0146798596634,81.45742132919919,139.16068540410342,220.61810673330262,11144.950858868684
Glenn,2018,19.502929285313872,5716.292449587515,0.2906485849887883,1066.6204539608902,1493.535143100456,444.6214619394065,102.24477980736887,180.08848280935345,282.3332626167223,10941.31726231674
Glenn,2019,18.536757191542247,5357.434755232305,0.12481340413008005,1216.5472319519167,1290.8091068648382,930.9764254190544,33.85456248310373,284.4807414196356,318.33530390273927,13184.510584919391
Durham,2011,17.335212885880132,4988.256302377626,0.049422589835899984,1467.5763854124946,1103.2745887587434,585.7694124109802,82.48922989199694,327.6548368154244,410.14406670742136,12419.432766603248
Durham,2012,18.373703337006052,5332.764705308056,0.10842824083889437,1294.6830728079444,1309.4706941521656,941.8043713062747,233.8242456057499,295.3627787071616,529.1870243129114,8677.809466215753
Durham,2013,18.32047626269281,5395.345032724486,0.17492294396618802,1305.461969599575,1300.7813054824505,182.3951590600236,47.079280805935966,101.83949567632116,148.9187764822571,9722.87877573974
Durham,2014,19.48570308740083,5721.208517712635,0.0986624771948915,982.5441436622293,1403.1712705635282,697.9422217421281,132.16106921358204,154.70549961256347,286.8665688261456,9397.03765532437
Durham,2015,18.841286417166828,5519.362346325519,0.07950315294144822,1094.2515893429952,1279.6666316088874,365.5378309116011,68.48576236098779,46.19508871927332,114.68085108026109,10949.758891910433
Durham,2016,18.671598533849057,5417.795034007352,0.13173482805552267,1146.97920283303,1270.796466221788,973.0230125483363,232.0085062473154,295.31150985811894,527.3200161054343,12051.476022463785
Durham,2017,18.686596101602554,5430.818298133747,0.29137556003963155,1249.820612531692,1378.773689616625,966.308316951721,138.5982845154249,205.3907864957336,343.9890710111585,10933.566640217563
Durham,2018,18.996275438125426,5520.902130081353,0.2205135620961805,1134.2375537304374,1376.2235886462254,582.8067680899867,122.49523097448895,254.76669492501262,377.26192589950165,10860.10080965111
Durham,2019,18.274316772187625,5252.073049834372,0.11206900649287853,1264.5408639346326,1243.0119857831294,1103.3138355689855,41.309943689939296,325.2232676604375,366.5332113503768,12076.705108813101
Bouldin Island,2011,15.400497311108833,2464.601522827138,0.0,1444.7426821777262,374.26970073242387,484.0310038998723,77.96925865113734,261.9027551263571,339.87201377749443,15455.500269003156
Bouldin Island,2012,16.205792769968937,2726.2299011230343,0.0,1223.6745412597606,445.0068950683616,602.1653795614839,149.4779996573925,168.26264467090368,317.7406443282962,13134.03550841596
Bouldin Island,2013,16.25703425995301,2812.338696289049,0.0,1272.5270812499946,514.6900861328148,141.60880539566278,38.45940157771111,62.89276480674744,101.35216638445856,12695.465375451553
